latitude,longitude,altitude,geometry,pull_date,fire_name,fire_number,area,report_date,dayof_pull
26.177,-81.314,,Point,5/3/2009,Deep,FL-BCP-009021,30005,5/2/2009,1
31.42,-99.813,,Point,5/3/2009,2009_Winter_Initial_Attack,TX-TXS-990019,16446,5/2/2009,1
28.565,-81.089,,Point,5/3/2009,Harley,FL-FLS-2009-12-0234,1200,5/2/2009,1
29.63,-82.732,,Point,5/3/2009,GILCHRIST,FL-FLS-2009-08-0434,300,5/2/2009,1
28.797,-80.903,,Point,5/3/2009,CANAL,FL-FLS-2009-10-0273,276,5/2/2009,1
31.034,-104.051,,Point,5/3/2009,Cowden_Ranch,TX-TXS-990113,195,5/2/2009,1
35.534,-83.276,,Point,5/3/2009,Stoney_Ridge,NC-ECA-0940029,2307,5/2/2009,1
27.078,-98.885,,Point,5/3/2009,Randado,TX-TXS-990112,500,5/2/2009,1
31.666,-110.538,,Point,5/3/2009,ELGIN,AZ-A3S-090222,450,5/2/2009,1
34.45,-119.717,,Point,5/10/2009,Jesusita,CA-LPF-1479,8600,5/8/2009,1
31.42,-99.813,,Point,5/10/2009,2009_Winter_Initial_Attack,TX-TXS-990019,16495,5/8/2009,1
26.373,-81.144,,Point,5/10/2009,Duck_Curve,FL-FLS-2009-17-0228,600,5/9/2009,1
31.558,-110.513,,Point,5/10/2009,Canelo,AZ-CNF-000037,4208,5/8/2009,1
31.475,-108.867,,Point,5/10/2009,IRISHMAN,AZ-CNF-000033,1300,5/6/2009,1
59.78,-151.174,,Point,5/17/2009,Mi.17_East_End_Rd.,AK-KKS-903088,1074,5/16/2009,1
34.466,-119.723,,Point,5/17/2009,Jesusita,CA-LPF-1479,8733,5/16/2009,1
33.409,-105.155,,Point,5/17/2009,FRESQUEZ_2,NM-N5S-000246,9000,5/16/2009,1
33.826,-105.338,,Point,5/17/2009,VISTA,NM-N5S-247,12720,5/16/2009,1
33.961,-105.288,,Point,5/17/2009,EAST_TRANSWESTERN,NM-NMS-248,18533,5/16/2009,1
28.766,-81.037,,Point,5/17/2009,ORLANDO-VOLUSIA_COMPLEX,FL-FLS-2009-008,10008,5/16/2009,1
30.536,-103.605,,Point,5/17/2009,Jeff_Davis_Complex,TX-TXS-990116,4574,5/16/2009,1
30.2,-104.633,,Point,5/17/2009,Musgrave_Canyon,TX-TXS-990115,1550,5/16/2009,1
27.611,-81.286,,Point,5/17/2009,BOMB_,FL-FLS-2009-16-0471,1001,5/16/2009,1
27.025,-80.466,,Point,5/17/2009,INDIAN_TRAIL,FL-FLS-2009-16-0453,725,5/16/2009,1
27.041,-80.344,,Point,5/17/2009,Lincoln_Park,FL-FLS-2009-16-0451,540,5/16/2009,1
27.137,-80.383,,Point,5/17/2009,GREEN_FARM_FIRE,FL-FLS-2009-16-0466,400,5/16/2009,1
27.832,-81.142,,Point,5/17/2009,MAYBE_SQUASH,FL-FLS-2009-12-0335,300,5/16/2009,1
46.383,-87.796,,Point,5/24/2009,Black_River_Falls,MI-MIS-520019,777,5/21/2009,1
46.765,-88.376,,Point,5/24/2009,Pinery,MI-MIA-00001,487,5/21/2009,1
45.945,-90.346,,Point,5/24/2009,BLOCKHOUSE,WI-CNF-090010,112,5/21/2009,1
33.293,-109.592,,Point,5/31/2009,FOUR_MILE,AZ-SCA-000099,711,5/29/2009,1
63.082,-155.423,,Point,5/31/2009,Broken_Snowshoe,AK-SWS-904164,25757,5/29/2009,1
44.448,-121.417,,Point,5/31/2009,0123_Geneva_6,OR-OCF-000120,102,5/29/2009,1
35.899,-118.886,,Point,5/31/2009,TUU_LIGHTNING_COMPLEX,CA-TUU-000126,300,5/29/2009,1
25.225,-80.9,,Point,5/31/2009,HELL'S_BAY,FL-EVP-009029,6175,5/27/2009,1
33.278,-110.773,,Point,6/7/2009,Pioneer,AZ-TNF-000039,345,6/6/2009,1
33.276,-108.038,,Point,6/7/2009,Diamond,NM-GNF-000170,8500,6/6/2009,1
33.759,-108.529,,Point,6/7/2009,Willow,NM-GNF-025,3000,6/6/2009,1
33.142,-108.022,,Point,6/7/2009,Meason,NM-GNF-2009-204,1200,6/6/2009,1
63.082,-155.423,,Point,6/7/2009,Broken_Snowshoe,AK-SWS-904164,25345,6/6/2009,1
33.278,-110.773,,Point,6/14/2009,Pioneer,AZ-TNF-000039,1315,6/13/2009,1
63.2,-153.267,,Point,6/14/2009,Tonclonukna_Creek,AK-SWS-904152,38040,6/13/2009,1
62.633,-153.563,,Point,6/14/2009,Dillinger,AK-SWS-904182,20120,6/13/2009,1
63.3,-141.553,,Point,6/14/2009,Ladue,AK-TAS-913214,-1,6/13/2009,1
33.276,-108.038,,Point,6/14/2009,Diamond,NM-GNF-000170,8650,6/13/2009,1
33.142,-108.022,,Point,6/14/2009,Meason,NM-GNF-2009-204,4800,6/13/2009,1
31.356,-108.863,,Point,6/14/2009,Pasco,NM-N3S-0757X,97256,6/13/2009,1
33.505,-103.729,,Point,6/14/2009,Cato,NM-ROD-015,55080,6/13/2009,1
61.449,-158.46,,Point,6/14/2009,Holokuk,AK-SWS-904255,550,6/13/2009,1
35.918,-111.996,,Point,6/14/2009,Ruby_Complex,AZ-KNF-000370,2684,6/13/2009,1
34.628,-111.566,,Point,6/14/2009,Rattle_Ridge,AZ-COF-031,403,6/13/2009,1
31.371,-111.007,,Point,6/14/2009,LITTLE_ALAMO,AZ-CNF-000068,841,6/13/2009,1
31.358,-110.636,,Point,6/14/2009,LOCHIEL,AZ-CNF-000067,2800,6/13/2009,1
31.836,-111.564,,Point,6/14/2009,ELK_HORN,AZ-2009-0453,1400,6/13/2009,1
33.278,-110.773,,Point,6/21/2009,Pioneer,AZ-TNF-000039,1400,6/18/2009,1
31.356,-108.863,,Point,6/21/2009,Pasco,NM-N3S-0757X,93029,6/17/2009,1
65.408,-148.358,,Point,6/21/2009,Slate_Creek,AK-TAD-000278,640,6/20/2009,1
65.104,-152.866,,Point,6/21/2009,Blind_River,AK-TAD-000291,115,6/20/2009,1
26.742,-81.98,,Point,6/21/2009,DOE,FL-FLS-2009-17-0284,240,6/20/2009,1
28.573,-82.634,,Point,6/21/2009,BAYPORT,FL-FLS-2009-11-0711,1400,6/19/2009,1
61.599,-159.845,,Point,6/21/2009,Winter_Trail,AK-SWS-904282,2308,6/19/2009,1
34.863,-111.557,,Point,6/21/2009,Real,AZ-COF-035,1100,6/20/2009,1
31.836,-111.564,,Point,6/21/2009,ELK_HORN,AZ-2009-0453,23440,6/19/2009,1
64.628,-148.715,,Point,6/28/2009,NENANA_RIDGE,AK-FAS-911327,157,6/27/2009,1
64.029,-151.021,,Point,7/5/2009,Bear_Creek,AK-TAD-000285,15846.7,7/3/2009,1
67.011,-143.597,,Point,7/5/2009,Rock_Slough,AK-UYD-000347,4199,7/4/2009,1
61.149,-143.069,,Point,7/5/2009,Chakina,AK-CRS-914362,734,7/4/2009,1
41.046,-123.416,,Point,7/5/2009,Trinity,CA-SHF-1430,130,7/4/2009,1
37.894,-119.704,,Point,7/5/2009,HARDEN,CA-YNP-1659,1594,7/4/2009,1
37.691,-119.684,,Point,7/5/2009,GROUSE,CA-YNP-1510,2300,7/4/2009,1
41.04,-123.464,,Point,7/5/2009,Susie_Complex,CA-SRF-1070,300,7/4/2009,1
64.48,-151.319,,Point,7/5/2009,Zitziana,AK-TAD-000284,8800,7/4/2009,1
35.019,-112.078,,Point,7/12/2009,Cross,AZ-KNF-455,1900,7/11/2009,1
34.119,-114.379,,Point,7/12/2009,Deer,AZ-CRA-090593,402,7/11/2009,1
64.747,-149.505,,Point,7/12/2009,Minto_Flats_South,AK-FAS-911320,148483,7/11/2009,1
60.35,-150.89,,Point,7/12/2009,Shanta_Creek,AK-KKS-903348/E0E3,12111,7/11/2009,1
67.011,-143.597,,Point,7/12/2009,Rock_Slough,AK-UYD-000347,14581,7/11/2009,1
64.836,-148.752,,Point,7/12/2009,Logging_Slash,AK-FAS-911404,118,7/11/2009,1
41.04,-123.464,,Point,7/12/2009,Backbone,CA-SRF-1131,5890,7/11/2009,1
37.691,-119.684,,Point,7/12/2009,GROUSE,CA-YNP-1510,3047,7/11/2009,1
33.435,-117.521,,Point,7/12/2009,Yankee,CA-MCP-091662,300,7/11/2009,1
34.695,-119.286,,Point,7/12/2009,Sulphur,CA-LPF-2787,200,7/11/2009,1
44.401,-121.632,,Point,7/12/2009,Black_Butte_II,OR-DEF-000301,578,7/11/2009,1
46.548,-121.152,,Point,7/12/2009,FOREST,WA-SES-489,300,7/11/2009,1
36.313,-106.958,,Point,7/12/2009,Jacquez,NM-SNF-093,120,7/11/2009,1
37.761,-112.653,,Point,7/12/2009,Horse_Valley,UT-DIF-090224,1800,7/11/2009,1
38.275,-105.172,,Point,7/12/2009,Newlin_Creek,CO-PBX-000708,142,7/11/2009,1
36.746,-114.191,,Point,7/12/2009,Toquop,NV-SND-000021,137,7/11/2009,1
33.333,-98.3,,Point,7/12/2009,Martin,TX-TXS-990128,1078,7/11/2009,1
32.261,-98.008,,Point,7/12/2009,Bishop,TX-TXS-990127,350,7/11/2009,1
30.233,-97.268,,Point,7/12/2009,Airstrip,TX-TXS-990129,150,7/11/2009,1
30.767,-95.804,,Point,7/12/2009,Alamo,TX-TXS-,102,7/11/2009,1
33.54,-110.294,,Point,7/19/2009,BEAR_CANYON,AZ-SCA-212,360,7/17/2009,1
31.944,-111.652,,Point,7/19/2009,SAN_JUAN,AZ-PPA-065,7600,7/18/2009,1
35.808,-109.205,,Point,7/19/2009,Sawmill_2,AZ-NAA-094,100,7/18/2009,1
34.119,-114.379,,Point,7/19/2009,Deer,AZ-CRA-090593,412,7/16/2009,1
64.747,-149.505,,Point,7/19/2009,Railbelt_Complex,AK-FAS-911898,190284,7/17/2009,1
